
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..torch/onnx/ops/_impl.py:1 <module>  1      0.000041  0.013066  0.013066
..ison.py:732 TensorLikePair.compare  2      0.000038  0.012944  0.006472
..._bootstrap>:391 ModuleSpec.cached  1698   0.001189  0.012939  0.000008
..852 TensorLikePair._compare_values  2      0.000034  0.012836  0.006418
..Pair._compare_regular_values_close  2      0.000083  0.012802  0.006401
..torch/_dynamo/config.py:1 <module>  1      0.000089  0.012737  0.012737
..rch/onnx/ops/_impl.py:31 decorator  2      0.000020  0.012529  0.006265
..sympy/matrices/dense.py:1 <module>  1      0.000037  0.012517  0.012517
..py/concrete/__init__.py:1 <module>  1      0.000009  0.012316  0.012316
..ct.py:2264 _signature_from_builtin  50     0.000159  0.012315  0.000246
..py/concrete/products.py:1 <module>  1      0.000025  0.012005  0.012005
.._dynamo/output_graph.py:1 <module>  1      0.000147  0.011862  0.011862
..bootstrap>:125 _ModuleLock.release  6906   0.009496  0.011797  0.000002
..ootstrap_external>:510 _get_cached  857    0.001266  0.011750  0.000014
..x/ops/_symbolic_impl.py:1 <module>  1      0.000044  0.011699  0.011699
..ympy/series/__init__.py:1 <module>  1      0.000042  0.011667  0.011667
..d/grad_mode.py:84 no_grad.__exit__  2875   0.004351  0.011529  0.000004
../sets/handlers/union.py:1 <module>  1      0.000048  0.011353  0.011353
..h/_dynamo/eval_frame.py:1 <module>  1      0.000148  0.011275  0.011275
..torch/_tensor.py:38 Tensor.wrapped  30     0.000189  0.011068  0.000369
..ch/_tensor.py:1077 Tensor.__rdiv__  30     0.000945  0.010861  0.000362
...py:1150 InstructionTranslatorBase  1      0.000224  0.010704  0.010704
..3.10/dataclasses.py:722 _get_field  807    0.004670  0.010635  0.000013
..t_mode.py:28 is_autocast_available  2820   0.004074  0.010585  0.000004
..distributed/fsdp/api.py:1 <module>  1      0.000042  0.010520  0.010520
..orch/_numpy/__init__.py:1 <module>  1      0.000055  0.010427  0.010427
..s/sympy/core/sympify.py:1 <module>  1      0.000029  0.010422  0.010422
.. ExtensionFileLoader.create_module  16     0.000052  0.010409  0.000651
..ch/lib/python3.10/os.py:755 encode  3192   0.006481  0.010389  0.000003
..cial/error_functions.py:1 <module>  1      0.000049  0.010373  0.010373
..o/symbolic_convert.py:456 stack_op  33     0.000166  0.010363  0.000314
<string>:1 <lambda>                   16080  0.006990  0.010298  0.000001
<frozen importlib._bootstrap>:198 cb  6359   0.007206  0.010270  0.000002
../concrete/summations.py:1 <module>  1      0.000054  0.010243  0.010243
..mpy/solvers/__init__.py:1 <module>  1      0.000045  0.010084  0.010084
../matrices/matrixbase.py:1 <module>  1      0.000098  0.010076  0.010076
../sympy/core/function.py:1 <module>  1      0.000073  0.010025  0.010025
..iton/language/random.py:1 <module>  1      0.000023  0.010002  0.010002
..amo/resume_execution.py:1 <module>  1      0.000898  0.009995  0.009995
..n3.10/dataclasses.py:842 _hash_add  104    0.000225  0.009786  0.000094
..utils/_pytree.py:779 _dict_flatten  2820   0.007627  0.009660  0.000003
..y/integrals/__init__.py:1 <module>  1      0.000018  0.009539  0.009539
..bootstrap>:71 _ModuleLock.__init__  6359   0.006950  0.009506  0.000001
../_ops/_pointwise_ops.py:1 <module>  1      0.000933  0.009436  0.009436
..on3.10/dataclasses.py:637 _hash_fn  104    0.000226  0.009350  0.000090
..:1209 PyTorchPickler.persistent_id  3796   0.001566  0.009308  0.000002
..rter/symbolic_helper.py:1 <module>  1      0.000054  0.009210  0.009210
..p>:173 _ModuleLockManager.__exit__  3641   0.002177  0.009028  0.000002
..ensions.py:3178 _collect_type_vars  520    0.002968  0.008914  0.000017
..d/grad_mode.py:75 no_grad.__init__  2897   0.008138  0.008812  0.000003
..modules/module.py:2872 NeuMF.train  600..  0.001526  0.008781  0.000015
..da/__init__.py:528 device.__init__  141    0.000512  0.008638  0.000061
..82 ExtensionFileLoader.exec_module  16/13  0.000046  0.008614  0.000538
..arding_spec/__init__.py:1 <module>  1      0.000015  0.008554  0.008554
..n/NCF/feature_spec.py:28 from_yaml  1      0.000020  0.008543  0.008543
..lib/python3.10/typing.py:1737 cast  28236  0.008503  0.008503  0.000000
..ter/symbolic_opset10.py:1 <module>  1      0.000096  0.008499  0.008499
../handlers/comparison.py:1 <module>  1      0.000018  0.008427  0.008427
..ges/yaml/__init__.py:117 safe_load  1      0.000004  0.008425  0.008425
..-packages/yaml/__init__.py:74 load  1      0.000027  0.008421  0.008421
..orch/jit/_trace.py:618 make_module  2      0.000019  0.008387  0.004194
..entary/trigonometric.py:1 <module>  1      0.000056  0.008349  0.008349
...py:1194 _CallableType.__getitem__  1185   0.001917  0.008311  0.000007
..timizer.py:100 _stack_if_compiling  2820   0.004812  0.008311  0.000003
..lly_shard/_fsdp_init.py:1 <module>  1      0.000031  0.008281  0.008281
..bootstrap_external>:128 <listcomp>  5836   0.006236  0.008267  0.000001
..da/_utils.py:344 _get_device_index  148    0.001101  0.008242  0.000056
..r.py:47 SafeLoader.get_single_data  1      0.000006  0.008218  0.008218
..ython3.10/sre_compile.py:622 _code  36     0.000102  0.008195  0.000228
../autograd.py:23 make_autograd_impl  5      0.000222  0.008162  0.001632
../numpy/__init__.py:326 __getattr__  2      0.000007  0.008100  0.004050
..ementary/exponential.py:1 <module>  1      0.000033  0.008056  0.008056
..triton/language/math.py:1 <module>  1      0.000069  0.008004  0.008004
..ython3.10/posixpath.py:41 _get_sep  12864  0.005614  0.007943  0.000001
..et_fused_kernels_supported_devices  2820   0.004473  0.007877  0.000003
..aph_capture_wrappers.py:1 <module>  1      0.000078  0.007841  0.007841
..ore/assumptions.py:489 as_property  31598  0.007833  0.007833  0.000000
..ly_shard/_fsdp_state.py:1 <module>  1      0.000031  0.007809  0.007809
..inspect.py:2920 Signature.__init__  1256   0.005277  0.007764  0.000006
..h/utils/_contextlib.py:158 __new__  2898   0.006227  0.007745  0.000003
..2 TopLevelTracedModule.__getattr__  2838   0.004523  0.007742  0.000003
..erialization.py:1159 persistent_id  3796   0.004442  0.007742  0.000002
..s.py:848 BCEWithLogitsLoss.forward  3      0.000033  0.007731  0.002577
..986 _UnionGenericAlias.__setattr__  4193   0.003717  0.007711  0.000002
..otstrap_external>:159 _path_isfile  1189   0.000971  0.007696  0.000006
..9 binary_cross_entropy_with_logits  3      0.000351  0.007686  0.002562
..r.py:29 SafeLoader.get_single_node  1      0.000014  0.007678  0.007678
..ckages/dllogger/__init__.py:46 log  32     0.000228  0.007605  0.000238
..inspect.py:2637 Parameter.__init__  2322   0.004183  0.007582  0.000003
..umptions.py:469 StdFactKB.__init__  482    0.000885  0.007478  0.000016
...py:50 SafeLoader.compose_document  1      0.000004  0.007426  0.007426
..oser.py:63 SafeLoader.compose_node  78/1   0.000230  0.007410  0.000095
..arded_tensor/reshard.py:1 <module>  1      0.000022  0.007381  0.007381
..s/dllogger/logger.py:57 Logger.log  32     0.000792  0.007377  0.000231
..17 SafeLoader.compose_mapping_node  12/1   0.000096  0.007347  0.000612
..hon3.10/sre_compile.py:87 _compile  274..  0.003487  0.007267  0.000027
../inspect.py:3206 Signature.__str__  171    0.001640  0.007267  0.000042
..1240 TopLevelTracedModule.__init__  2      0.000070  0.007249  0.003624
..rd/_fsdp_param_group.py:1 <module>  1      0.000045  0.007232  0.007232
..edispatch/conflict.py:15 <genexpr>  13254  0.005135  0.007220  0.000001
..p_external>:150 _path_is_mode_type  1296   0.001246  0.007133  0.000006
..tributed/nn/__init__.py:1 <module>  1      0.000016  0.007088  0.007088
..tensor.py:270 Tensor.__reduce_ex__  156    0.000770  0.006977  0.000045
..pmath/libmp/__init__.py:1 <module>  1      0.000071  0.006935  0.006935
..ch/_utils.py:831 _get_device_index  145    0.000932  0.006901  0.000048
..ed/fsdp/_optim_utils.py:1 <module>  1      0.000109  0.006851  0.006851
..ted/fsdp/_init_utils.py:1 <module>  1      0.000102  0.006849  0.006849
..arser.py:94 SafeLoader.check_event  267    0.000238  0.006826  0.000026
..ursive.py:536 create_script_module  2      0.000024  0.006773  0.003386
..ckages/torch/_ops.py:1130 <lambda>  2820   0.005111  0.006719  0.000002
..47 BCEWithLogitsLoss._slow_forward  2      0.000012  0.006688  0.003344
..torch/optim/adam.py:765 <listcomp>  2820   0.006662  0.006662  0.000002
..thon3.10/typing.py:146 _type_check  1176   0.003346  0.006647  0.000006
..integrals/transforms.py:1 <module>  1      0.000072  0.006600  0.006600
..xternal>:1531 FileFinder._get_spec  860    0.001419  0.006558  0.000008
..s/expressions/matmul.py:1 <module>  1      0.000050  0.006523  0.006523
..ecode_transformation.py:1 <module>  1      0.000106  0.006473  0.006473
..py/simplify/__init__.py:1 <module>  1      0.000029  0.006451  0.006451
..dule.py:1968 Embedding.__setattr__  670    0.002706  0.006373  0.000010
...py:599 StdFactKB.deduce_all_facts  136    0.002727  0.006321  0.000046
..rter/symbolic_opset9.py:1 <module>  1      0.000703  0.006320  0.006320
../extra/cuda/__init__.py:1 <module>  2      0.000021  0.006265  0.003132
..tions/special/bessel.py:1 <module>  1      0.000046  0.006212  0.006212
..es/sympy/core/symbol.py:1 <module>  1      0.000043  0.006207  0.006207
..ctor/cudagraph_utils.py:1 <module>  1      0.000036  0.006188  0.006188
..s/triton_kernel_wrap.py:1 <module>  1      0.000119  0.006175  0.006175
..rd/_fsdp_collectives.py:1 <module>  1      0.000089  0.006114  0.006114
..n/NCF/dataloading.py:250 <genexpr>  2850   0.003133  0.006025  0.000002
..triton/language/core.py:1 <module>  1      0.000152  0.006018  0.006018
..numberfields/minpoly.py:1 <module>  1      0.000041  0.005989  0.005989
...10/inspect.py:1684 _static_getmro  13625  0.005920  0.005920  0.000000
..guage/extra/__init__.py:1 <module>  1      0.000021  0.005893  0.005893
..s.py:805 _get_current_device_index  137    0.000395  0.005853  0.000043
..umpy/random/__init__.py:1 <module>  1      0.000038  0.005813  0.005813
..ootstrap_external>:132 _path_split  1685   0.002462  0.005748  0.000003
..ed/tensor/_ops/utils.py:1 <module>  1      0.000046  0.005724  0.005724
..adata/__init__.py:999 entry_points  1      0.000019  0.005692  0.005692
..s.py:1350 _OpNamespace.__getattr__  70     0.000269  0.005653  0.000081
..tlib/metadata/__init__.py:456 load  1      0.000006  0.005649  0.005649
..etadata/__init__.py:1018 <genexpr>  70     0.000071  0.005589  0.000080
..elementary/complexes.py:1 <module>  1      0.000029  0.005580  0.005580
..py/plotting/__init__.py:1 <module>  1      0.000019  0.005541  0.005541
..mberfields/utilities.py:1 <module>  1      0.000021  0.005540  0.005540
..b/python3.10/posixpath.py:60 isabs  2667   0.002871  0.005523  0.000002
..numpy/random/_pickle.py:1 <module>  1      0.000030  0.005480  0.005480
...py:319 Tensor._reduce_ex_internal  156    0.002542  0.005475  0.000035
..rch/_utils.py:789 _get_device_attr  137    0.000710  0.005458  0.000040
..ript.py:343 _CachedForward.__get__  2821   0.005456  0.005456  0.000002
..ges/sympy/core/basic.py:1 <module>  1      0.000055  0.005425  0.005425
../cuda/__init__.py:154 _is_compiled  2975   0.003693  0.005409  0.000002
..ensor/_ops/_view_ops.py:1 <module>  1      0.000094  0.005377  0.005377
..ct.py:1959 _signature_bound_method  456    0.001899  0.005371  0.000012
..ympy/tensor/__init__.py:1 <module>  1      0.000023  0.005284  0.005284
..es/torch/_dynamo/pgo.py:1 <module>  1      0.000061  0.005225  0.005225
..nner.py:113 SafeLoader.check_token  602    0.000639  0.005178  0.000009
.._signature_strip_non_python_syntax  52     0.000979  0.005156  0.000099
..ed/tensor/_op_schema.py:1 <module>  1      0.000042  0.005134  0.005134
..08 _CallableType.__getitem_inner__  87     0.000450  0.005068  0.000058
..nn/api/remote_module.py:1 <module>  1      0.000042  0.005052  0.005052
..ime/jit.py:1101 constexpr_function  11     0.000012  0.005049  0.000459
..ch/_functorch/config.py:1 <module>  1      0.000027  0.005049  0.005049
..py:1073 ConstexprFunction.__init__  11     0.000015  0.005037  0.000458
..python3.10/inspect.py:182 ismodule  8890   0.003704  0.005030  0.000001
..tensor/_ops/__init__.py:1 <module>  1      0.000020  0.004915  0.004915
..py:947 _UnionGenericAlias.__init__  499    0.000842  0.004906  0.000010
..compositions_for_rng.py:1 <module>  1      0.000057  0.004906  0.004906
..torch/optim/adam.py:767 <listcomp>  2820   0.004797  0.004797  0.000002
..riables/user_defined.py:1 <module>  1      0.000076  0.004771  0.004771
../modules/module.py:2894 NeuMF.eval  30     0.000052  0.004769  0.000159
..py/simplify/simplify.py:1 <module>  1      0.000073  0.004733  0.004733
